assessment,id,title,text,priority,potential,parent
green,Ü5-1516,"Sachstand 2015 / 2016","Die Öffentlichkeitsarbeit ist in den letzten Jahren weiter intensiviert worden, insbesondere für „Münster packts! Der Bürgerpakt für Klimaschutz“, „Münsters Allianz für Klimaschutz“ sowie die Bereiche Bauen und Sanieren sowie Erneuerbare Energien. Dabei wurden nicht nur themenspezifische Ausstellungen, Kampagnen und Beratungen angeboten sondern auch eine wirksame Öffentlichkeitsarbeit mit Plakaten, Anzeigen, Buswerbung, etc. durchgeführt. Ein eigenes Layout für den Klimaschutz in Münster hat zur deutlichen Erkennung des Klimaschutzes in der öffentlichen Wahrnehmung geführt. Für die Entwicklung des Masterplans 100% Klimaschutz ist die Dachmarke mit dem Motto „Münster Klimaschutz 2050“ angepasst worden und wird seit Oktober 2016 offensiv in die Bürgerschaft getragen, um eine breite Öffentlichkeit für das Thema im Rahmen der Beteiligungsphase zur Erarbeitung des Masterplans zu erhalten und später Maßnahmen zielgerichtet zu bewerben und umzusetzen.",5,(3),Ü5
green,Ü5-1718,"Sachstand 2017 / 2018","Die Dachmarke „Münster Klimaschutz 2050“ hat sich als zentrale qualitative Wiedererkennungsmarke zum Klimaschutz in Münster weitestgehend etabliert. Insbesondere in Verbindung mit dem neuen städtischen CD konnte ein einheitliches und medienwirksames Ansprachekonzept für die Öffentlichkeit entwickelt werden. Damit werden die unterschiedlichen Zielgruppen (Hausbesitzer, Haushalte, Unternehmen, etc.) zielgruppenspezifisch im einheitlichen Design zu den verschiedenen Themen und Kampagnen mit einer Vielfalt an unterschiedlichen Medien (von Plakaten, über Pressemitteilungen, Anzeigen, Buswerbung, bis zur Präsenz im Internet und den sozialen Medien) angesprochen. Neben den verschiedenen Medien wurde im Jahr 2018 wieder verstärkt auch die persönliche Präsenz bei Veranstaltungen und Festen in der Stadt erhöht, um die Bürgerinnen und Bürger für den gemeinsamen Klimaschutz-Prozess zu gewinnen. In den Jahren 2017 und 2018 wurde die Klimaschutzkampagne „Münster packts! Der Bürgerpakt für Klimaschutz“ evaluiert und weiterentwickelt. 2018 startete die Weiterentwicklung unter dem Titel „Münsters KlimaMischpoke“. Der inhaltliche Schwerpunkt liegt weiterhin auf kleinen Klimaschutzmaßnahmen im Alltag, die aber in der Summe – und in der Gemeinschaft – einen wichtigen Beitrag zu den städtischen Klimaschutzzielen leisten. Die Verbindung aus Elementen von Massematte als lokaler Münster-Bezug mit einem Schwerpunkt auf eine Mitmachkampagne, bei der Menschen nicht nur informiert werden, sondern zur aktiven Teilnahme an der Kampagne motiviert werden, bilden den Kern der Kampagne. Sie wird im Jahr 2019 fortgesetzt.",5,(3),Ü5

red,Ü6,"Energieberatung ausbauen und differenzieren","Energieberatung ausbauen und differenzieren",4,(3),Ü
white,Ü6-Plan,"geplant","Energie-/Umweltberatung der Stadt (ganztags statt halbtags) und der Verbraucherzentrale werden weiter ausgebaut.",4,(3),Ü6
red,Ü6-13,"Sachstand 2013","Ein Ausbau der Energie-/Umweltberatung ist nicht umgesetzt worden. Insgesamt konnte eine halbe Personalstelle für die Energie-/Umweltberatung auf der Grundlage des Handlungskonzeptes erhalten werden.",4,(3),Ü6
red,Ü6-1516,"Sachstand 2015 / 2016","Kein neuer Sachstand",4,(3),Ü6
red,Ü6-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",4,(3),Ü6

orange,Ü7,"Klimaschutz und Veränderung der Altersstruktur der Bevölkerung","Klimaschutz und Veränderung der Altersstruktur der Bevölkerung",3,-,Ü
white,Ü7-Plan,"geplant","Veränderung in der Altersstruktur erfordert auch Veränderungen im baul. Bereich, z.B. altersgerechte oder barrierefreie Wohnungen, dabei Chancen für den Klimaschutz nutzen",3,-,Ü7
red,Ü7-13,"Sachstand 2013","Im Rahmen des Projektes „AltbauNeu“ in Zusammenarbeit mit der Energieagentur NRW und anderen Städten in NRW wird das Thema in Zusammenhang mit der Gebäudesanierung betrachtet und soll zukünftig stärker in die Beratung eingebracht werden. Der Zubau an altengerechten bzw. barrierefreien Wohnungen ist auch Teil der Überlegungen im Handlungskonzept Wohnen, das derzeit von der Verwaltung erarbeitet wird.",3,-,Ü7
orange,Ü7-1516,"Sachstand 2015 / 2016","m Rahmen des Projektes „AltbauNeu“ wurden Handlungsansätze für die Nutzung von Synergien bei der altersgerechten Sanierung mit der energetischen Sanierung herausgearbeitet, die im Rahmen des Netzwerkes „AltbauPartner Handwerk“ besprochen wurden und dort in die Sanierungsberatung aufgenommen wurden. D.h. aktiv die Chancen bei der altersgerechten Sanierung nutzen und auf die Möglichkeiten der energetischen Sanierung verstärkt hinweisen. Auch im Handlungskonzept Wohnen, das im April 2014 vom Rat der Stadt Münster beschlossen wurde, spielt der altersgerechte oder barrierefreie Wohnungsbau eine wichtige Rolle und ist damit Bestandteil der weiteren Entwicklungsstrategie der Stadt.",3,-,Ü7
orange,Ü7-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",3,-,Ü7


orange,Ü8,"Klimaschutz in der Stadtplanung","Klimaschutz in der Stadtplanung",3,-,Ü
white,Ü8-Plan,"geplant","Der Leitfaden „Energiegerechte Bauleitplanung“ soll aktualisiert werden, insbesondere im Hinblick auf die Gestaltung städtebaul. Verträge, die neuen Aspekte der EnEV 2009, des EEWärme-Gesetzes sowie des Projekt „100 Klimaschutzsiedlungen in NRW". (ergänzend dazu: Antrag der SPD-Fraktion vom 15.9.2008: A-R/0047/2008)",3,-,Ü8
orange,Ü8-13,"Sachstand 2013","Die Beauftragung bzw. Bearbeitung eines Leitfadens konnte kapazitätsbedingt und in Priorität zu anderen konkreten Planungsprojekten noch nicht angegangen werden. Gleichwohl kann der Sachstand inhaltlich wie folgt dargestellt werden:<br>- energetischen Baukonzepten stehen, nach wie vor und wie seit Jahren, keinerlei öffentlich-rechtliche Vorschriften in Festsetzungen von Bebauungsplänen bei Neuplanungen entgegen;<br>- städtebauliche Aspekte des Klimaschutzes werden nach wie vor frühzeitig im Planungsprozess durch Einspeisung der entsprechenden Aspekte in Wettbewerbsverfahren berücksichtigt, auch in Verfahren Dritter;<br>- im Rahmen von Anträgen auf Bauleitplanung und zu neuen städtebaulichen Konzepten wird dem ASSVW regelmäßig ein städtebaulicher Klima-Check als ergänzende Basis seiner Entscheidung vorgelegt; dieser enthält oftmals Empfehlungen der Stadtplanung, die vorliegenden Bebauungskonzepte energetisch zu optimieren (Kompaktheit, Ausrichtung, Abstände, Dachflächen);<br>- eigene städtische städtebauliche Konzepte werden unter dem Focus o.g. städtebaulich wirksamer klimatischer Aspekte geprüft und optimiert;<br>- für Sommer 2013 ist eine Vorlage zur Energieeffizienz von Gebäuden im Zusammenhang mit Fragen des Stadtbildes geplant, die sich i.S. einer Handreichung an die Bürgerschaft, Investoren, Architekten und Planung wendet.",3,-,Ü8
orange,Ü8-1516,"Sachstand 2015 / 2016","Eine Beauftragung bzw. Bearbeitung des Leitfadens ist aus analogen Gründen wie bereits 2013 nicht erfolgt. Die Bearbeitung ist auch weiterhin den Arbeitsprioritäten der Bauleitplanung und der Städtebaulichen Planung zur Wohnbaulandentwicklung unterzuordnen. Die bereits in 2013 als Sachstand angeführten Arbeitsfelder werden - mit Ausnahme des letzten Spiegelpunktes – bei laufenden Planungen voll berücksichtigt bzw. angewandt. Es wird in Anbetracht dieser Situation nicht empfohlen, die Maßnahme einer Neuaufstellung des Leitfadens aufrechtzuerhalten, da <br>Kosten, Aufwand und Nutzen hier aus der fachlichen Betrachtung in keinem guten Verhältnis stehen: ein/der Leitfaden wird weder absolute Vorgaben machen sollen, noch können;<br>durch den konkreten Städtebaulichen Entwurf wirklich beeinflussbare klimatische Ziele (kurze Wege, Dichte, Kompaktheit, Kubatur/Dachform/Gebäudeausrichtung/Optionen für passive Energienutzung etc. ) seit Jahren selbstverständliches Entwurfs- und Beurteilungshandwerkszeug in der Stadtplanung sind;<br>die o.g. Kriterien sind jedoch auch nicht absolut: sie stehen auf gleicher Stufe zu ebenso wichtigen baugebietskonfigurierenden städtebaulichen Anforderungen wie Stadtraumbildung, kommunikative, gemeinschaftsorientierte und nutzungsfunktionale Ziele, Aufgreifen und Fortführen bestehender städtebaulicher Strukturen etc. und sie unterliegen somit der Abwägung – eine primär oder ausschließlich kompakte oder südorientierte Gebäudeausrichtung oder Dachform ist insofern für die städtebaulich gewachsene Struktur und das Stadtbild Münsters in keiner Weise zu empfehlen und verträglich ;<br>die Anregungswirkung eines Leitfadens für private Bauherren beschränkt sich insofern in erster Linie beispielgebend auf Positivbausteine für das konkrete Bauvorhaben;<br>hierfür bestehen in Literatur wie im fachlichen Bereich des Internet ausreichende Untersuchungen und Leitfäden zu stützenden technischen Lösungen, deren Umsetzung und zum Teil auch Förderung - die Stadt hat es im Themenfeld der Stadtplanung/Bauleitplanung objektbezogen nicht in der Hand (Ausnahme: eigene kommunale Bauvorhaben), bauliche Strategien, Vorgaben oder Techniken mit Ausnahme der Wärmedämmstandards (V/0675/2011) weiterzugeben und einzufordern, sofern hierfür keine gesetzlichen Grundlagen bestehen;<br>in den die Bauleitplanung flankierenden öffentlich rechtlichen Verträgen werden die kommunalen Energie(dämm)standards wie aktuelle Ratsbeschlusslage (V/0675/2011) 1:1 seit den 90er Jahren als klare Maßgabe für die Gebäudeerstellung an Dritte weitergegeben (aktuell EnEV 2009 minus 35%) – modifizierende bzw. aktualisierende oder weitergehende Ratsbeschlüsse würden analog und automatisiert vertraglich umgesetzt und weitergegeben;<br>weitergehende Themen wie Nutzungsintensität von Kfz in Baugebieten, Car-Sharing, Nutzung bestimmter Energieversorgungsformen im Baugebiet o.ä. können durch Städtebauliche Planung zwar mitgedacht und vorbereitet werden, dies jedoch i. d. R. nicht verbindlich geregelt und gesetzlich gesichert, sondern nur per Hinweis;<br>in diesem Zusammenhang wurden allerdings bei den großflächigen Konversionsprojekten York und Oxford Kriterien und Elemente für das Thema Klimaschutz in der Stadtplanung in besonderer Weise vorgedacht bzw. integriert.",3,-,Ü8
orange,Ü8-1718,"Sachstand 2017 / 2018","Die in 2013 angeführten Arbeitsfelder werden – wie bisher mit Ausnahme des letzten Spiegelpunktes – bei laufenden Planungen durchgetragen und beachtet. Eine Beauftragung bzw. Bearbeitung des Leitfadens ist aus fachlicher Sicht nach wie vor nicht sinnvoll und im Aufwand-Nutzen-Verhältnis in keiner Weise zielführend. In der aktuellen personellen Situation wäre eine Bearbeitung in den mind. mittelfristigen Arbeitsprioritäten der Bauleitplanung und der Städtebaulichen Planung zur Wohnbaulandentwicklung (Baulandprogramm, Konversion, etc.) zudem nicht realistisch. Es wird in Anbetracht dieser Bewertung und Situation weiterhin nicht empfohlen, die Maßnahme einer Neuaufstellung des Leitfadens aufrechtzuerhalten (siehe Begründung aus 2015/2016). Bei der Umsetzung der städtebaulich wirksamen, großflächigen Konversionsprojekte York und Oxford ist es Ziel, die Kriterien und Elemente für das Thema Klimaschutz - neben anderen - in besonderer Weise in die künftigen hochbaulichen und freiräumlichen Ausschreibungsverfahren zu integrieren: Neben der Berücksichtigung der qualitativen Standards der städtebaulichen Gestaltungsleitlinien wird sich die Stadt dafür einsetzen, dass<br>- Qualität, Funktionalität und Nachhaltigkeit innovativer Mobilitätskonzepte bzw. Maßnahmen des Mobilitätsmanagements<br>- Qualität, Funktionalität und Flexibilität der halböffentlichen und privaten Freiraumgestaltung<br>- Integration und Erhaltung bestehender, wertvoller Grünstrukturen, vor allem des erhaltenswerten Baumbestandes<br>- Qualität, Funktionalität und Nachhaltigkeit innovativer energetischer Konzepte<br>- Qualität, Funktionalität und Nachhaltigkeit innovativer Regenwasserbewirtschaftungslösungen<br> explizite (Mit-)Beurteilungskriterien im Zusammenhang mit konzeptbezogenen Grundstücksvergaben auf den Kasernenarealen werden.",3,-,Ü8

red,Ü9,"Bürger-/Firmen-Klimafonds","Bürger-/Firmen-Klimafonds",4,5,Ü
white,Ü9-Plan,"geplant","Mit einem Fonds für lokale und internationale Klimaschutzprojekte soll Bürgern wie auch Unternehmen in der Stadt Münster eine Geldanlagemöglichkeit geboten werden, aus der heraus konkrete Klimaschutzprojekte finanziert werden.",4,5,Ü9
orange,Ü9-13,"Sachstand 2013","Zusammen mit dem Verein fairPla.net sollte ein Bürgerfond entwickelt werden. Nach ersten vielversprechenden Gesprächen teilte der Verein 2012 jedoch mit, dass er keine Umsetzungsmöglichkeiten sieht. Die Stadtwerke Münster haben im Rahmen ihrer Aktivitäten Bürger-Fonds für die Umsetzung von Anlagen zur Nutzung Erneuerbarer Energien (Photovoltaik und Windkraft)
aufgelegt und den Bürgern angeboten. Die Anteile waren jeweils in kürzester Zeit vergriffen.",4,5,Ü9
orange,Ü9-1516,"Sachstand 2015 / 2016","Ein Bürger-/Firmen-Klima-Fonds konnte bislang nicht initiiert werden. Die Stadtwerke Münster haben eine Bürgergenossenschaft „Münster Energie“ gegründet, um Bürgeranlagen zur Nutzung erneuerbarer Energien in der Stadt umzusetzen. Der Verein fairPla.net konnte verschiedene Projekte mit der ev. Kirche und dem Studentenwerk mit Bürgerbeteiligung umsetzen.",4,5,Ü9
red,Ü9-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",4,5,Ü9

green,Üneu1,"Beirat für Klimaschutz","Beirat für Klimaschutz",5,(4),Ü
white,Üneu1-Plan,"geplant","Einrichtung eines Beirates für Klimaschutz ist beschlossen worden.",5,(4),Üneu1
green,Üneu1-13,"Sachstand 2013","Mit Ratsbeschluss vom 21.09.2011 wurde der Beirat für Klimaschutz (V/0358/2011) eingerichtet und die Mitglieder berufen. Der Beirat tagt viermal jährlich.",5,(4),Üneu1
green,Üneu1-1516,"Sachstand 2015 / 2016","Kein neuer Sachstand",5,(4),Üneu1
green,Üneu1-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",5,(4),Üneu1

green,Üneu2,"Klimaschutzkonzept Landwirtschaft und Ernährung","Klimaschutzkonzept Landwirtschaft und Ernährung",3,(3),Ü
white,Üneu2-Plan,"geplant","Die Verwaltung soll die Produktion klimaschädlicher Gase durch die landwirtschaftl. Tierhaltung im Stadtgebiet abschätzen und prüfen, ob weitere Umweltdaten für Landwirtschaft und Ernährung abgebildet werden können.",3,(3),Üneu2
green,Üneu2-13,"Sachstand 2013","Um die Emissionen aus dem Sektor Landwirtschaft zu ermitteln, wurde eine quantitative Bilanz der Emissionen von Treibhausgasen im Herbst 2012 in Auftrag gegeben. Neben einer aktuellen Bilanzierung für das Jahr 2011 sollten auch rückwirkende Bilanzen durchgeführt werden und ein fortschreibbares Bilanzierungstool auf Excel-Basis, mit dem zukünftig die Bilanzierung durch die Stadt erfolgen kann, erstellt werden. Die Ergebnisse werden Mitte 2013 vorliegen.",3,(3),Üneu2
green,Üneu2-1516,"Sachstand 2015 / 2016","Der Anteil des Landwirtschaftssektors an den Gesamtemissionen der Stadt Münster ist mit rd. 3 % vergleichsweise gering und liegt deutlich unter dem Anteil der deutschen Landwirtschaft an der nationalen Gesamtemission von 7,5 %. Zurückzuführen ist dies in erster Linie auf die urbane Struktur der Stadt Münster. Gegenüber dem Jahr 1990 konnten 17% der Emissionen in Münster im Bereich der Landwirtschaft eingespart werden. Aufgrund des geringen Anteils an den Gesamtemissionen wurden bislang keine weiteren Konzepte für diesen Sektor erstellt.",3,(3),Üneu2
orange,Üneu2-1718,"Sachstand 2017 / 2018","Kein neuer Sachstand",3,(3),Üneu2

green,Üneu3,"Heizstrahlerverbot Außengastronomie","Heizstrahlerverbot Außengastronomie",4,3,Ü
white,Üneu3-Plan,"geplant","Außengastronomieflächen sollen nur noch unter der Bedingung des Verzichtes von Heizpilzen, Infrarotstrahlern usw. genehmigt werden. Auch bei bereits bestehenden Verträgen werden die Betreiber um eine Selbstverpflichtung gebeten",4,3,Üneu3
orange,Üneu3-13,"Sachstand 2013","Mit dem Handlungskonzept 2020 wurde der Verzicht von Heizpilzen, Infrarotstrahlern, usw. beschlossen (V/0592/2010 + V/0592/2010/E1). Bei der Genehmigung von Außengastronomieflächen auf öffentlichen Flächen wird der Beschluss konsequent umgesetzt. Bei den wenigen städtischen Privatflächen wird der Ratsbeschluss bei Neuvermietungen ebenfalls seit 2011 umgesetzt. Bei bestehenden Verträgen gilt die Genehmigung zum Aufstellen von Tischen und Stühlen überwiegend nicht in den Wintermonaten und / oder Heizpilze o.ä. werden nicht verwendet. Bei 2 Vertragsverhältnissen bestehen langfristige Bindungen, die zurzeit nicht kündbar sind. Eine Selbstverpflichtung wurde von den betroffenen Pächtern abgelehnt. Bei einem Neuabschluss sollen die Verträge entsprechend angepasst werden.",4,3,Üneu3
green,Üneu3-1516,"Sachstand 2015 / 2016","Die Maßnahme wird weiterhin konsequent umgesetzt.",4,3,Üneu3
green,Üneu3-1718,"Sachstand 2017 / 2018","Die Maßnahme wird weiterhin konsequent umgesetzt.",4,3,Üneu3

orange,B,"Bauen und Wohnen","Bauen und Wohnen",5,,

orange,B1,"Gütesiegel Gebäudesanierung","Gütesiegel Gebäudesanierung",5,(3),B
white,B1-Plan,"geplant","Entwicklung eines Gütesiegels Gebäudesanierung ist im Rahmen der Workshops für das Klimaschutzkonzeptes als ein sehr wichtiges Instrument der Altbausanierung gesehen worden.",5,(3),B1
